file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\sugii syuji\gitProject\jenkins\test\src\test\java\hudson\model\FingerprintCleanupThreadTest.java,hudson.model.FingerprintCleanupThreadTest$TestTaskListener000,innerclass,2,2,0,2,1,1,0,0,0,0.5,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,7,1,0,0,0,0,0,0,2,0,2,0,0,0,0,12,10,0
C:\Users\sugii syuji\gitProject\jenkins\core\src\main\java\hudson\security\AccessDeniedException3.java,hudson.security.AccessDeniedException3000,class,5,5,0,5,9,2,0,10,0,0.25,1.0,1.0,4,0,4,0,0,0,4,0,0,0,3,1,2,1,0,0,2,0,0,39,0,4,2,0,0,14,0,7,6,5,2,0,0,0,95,1,0
C:\Users\sugii syuji\gitProject\jenkins\core\src\test\java\hudson\os\SUTester.java,hudson.os.SUTester000,class,2,2,0,2,1,2,0,2,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,2,0,0,0,0,0,0,1,0,10,1,0
C:\Users\sugii syuji\gitProject\jenkins\test\src\test\java\jenkins\telemetry\MissingClassTelemetryTest.java,jenkins.telemetry.MissingClassTelemetryTest$TelemetryReceiver000,innerclass,5,5,0,5,4,1,0,4,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,0,0,0,0,2,0,1,0,0,0,0,35,9,0
C:\Users\sugii syuji\gitProject\jenkins\test\src\test\java\hudson\cli\OnlineNodeCommandTest.java,hudson.cli.OnlineNodeCommandTest$BlockingAndFinishingBuilder000,innerclass,8,8,0,8,3,3,0,7,0,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,2,0,0,2,0,0,2,0,1,20,1,1,0,0,0,0,1,4,0,4,1,0,1,0,23,26,0
C:\Users\sugii syuji\gitProject\jenkins\core\src\main\java\hudson\util\Scrambler.java,hudson.util.Scrambler000,class,1,1,0,1,5,1,0,8,1,0.5,0.0,0.0,2,2,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,3,17,5,0,2,1,0,2,0,1,0,1,1,0,0,0,32,1,0
C:\Users\sugii syuji\gitProject\jenkins\test\src\test\java\hudson\node_monitors\DiskSpaceMonitorDescriptorTest.java,hudson.node_monitors.DiskSpaceMonitorDescriptorTest000,class,8,8,0,8,5,1,0,14,3,0.6666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,27,0,0,0,0,0,13,16,5,5,5,1,0,0,0,42,1,0
C:\Users\sugii syuji\gitProject\jenkins\core\src\main\java\hudson\node_monitors\ClockMonitor.java,hudson.node_monitors.ClockMonitor$DescriptorImpl000,innerclass,12,12,0,12,5,4,0,3,6,0.0,0.0,0.0,4,0,3,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,16,4,0,1,0,0,1,0,2,0,1,1,0,0,0,34,9,0
C:\Users\sugii syuji\gitProject\jenkins\core\src\main\java\jenkins\security\apitoken\LegacyApiTokenAdministrativeMonitor.java,jenkins.security.apitoken.LegacyApiTokenAdministrativeMonitor$RevokeAllSelectedModel000,innerclass,3,3,0,3,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,25,0
C:\Users\sugii syuji\gitProject\jenkins\test\src\test\java\hudson\ExtensionFinderTest.java,hudson.ExtensionFinderTest$Impl000,innerclass,1,1,0,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25,0
C:\Users\sugii syuji\gitProject\jenkins\test\src\test\java\hudson\model\queue\QueueTaskDispatcherTest.java,hudson.model.queue.QueueTaskDispatcherTest$MyQueueTaskDispatcher000,innerclass,5,5,0,5,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,1,0,0,0,0,0,1,0,0,11,9,0
C:\Users\sugii syuji\gitProject\jenkins\core\src\main\java\jenkins\util\AntClassLoader.java,jenkins.util.AntClassLoader$Converter000,interface,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0
C:\Users\sugii syuji\gitProject\jenkins\test\src\test\java\hudson\model\ItemGroupMixInTest.java,hudson.model.ItemGroupMixInTest000,class,23,23,0,23,10,5,0,52,0,0.4375,0.035714287,0.035714287,8,0,8,0,0,0,8,0,0,0,2,1,1,1,0,0,1,0,0,136,0,1,0,1,0,75,7,32,4,32,1,0,4,3,152,1,0
C:\Users\sugii syuji\gitProject\jenkins\core\src\main\java\hudson\model\PermalinkProjectAction.java,hudson.model.PermalinkProjectAction$Permalink000$Anonymous138,anonymous,1,1,0,1,4,1,0,3,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,1,0,0,1,0,0,0,0,0,0,0,0,6,-1,0
C:\Users\sugii syuji\gitProject\jenkins\core\src\main\java\hudson\util\EditDistance.java,hudson.util.EditDistance000,class,2,2,0,2,13,1,0,9,3,0.42857143,0.0,0.0,7,3,3,4,0,0,3,0,0,0,3,0,0,3,0,0,1,0,5,49,5,4,1,0,1,0,13,19,8,12,2,0,0,0,56,1,0
C:\Users\sugii syuji\gitProject\jenkins\core\src\main\java\hudson\model\Fingerprint.java,hudson.model.Fingerprint000$Anonymous1219,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,0,0,0,0,0,2,0,2,0,0,0,0,6,-1,0
C:\Users\sugii syuji\gitProject\jenkins\core\src\main\java\hudson\util\ProcessTree.java,hudson.util.ProcessTree$WindowsOSProcessException000,innerclass,1,1,0,1,2,3,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,0
